n,d,outlier_fraction,outlier_mag,trial,true_cv,true_M,oracle_decision,in_borderline,s,tau_name,tau,branch_taken,pilot_cv,M_hat,T_used,rel_error,match
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,10,1.5,1.5,uniform_exact,0.5316955815546177,2.0123244171777577,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,10,sqrt(log n),2.628260884878466,uniform_exact,0.5316955815546177,2.0123244171777577,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,10,3.0,3.0,uniform_exact,0.5316955815546177,2.0123244171777577,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,30,1.5,1.5,uniform_exact,0.6627004452698809,3.2690887067792924,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,30,sqrt(log n),2.628260884878466,uniform_exact,0.6627004452698809,3.2690887067792924,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,30,3.0,3.0,uniform_exact,0.6627004452698809,3.2690887067792924,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,50,1.5,1.5,uniform_exact,0.5598087645973084,2.5907157283051494,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,50,sqrt(log n),2.628260884878466,uniform_exact,0.5598087645973084,2.5907157283051494,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,50,3.0,3.0,uniform_exact,0.5598087645973084,2.5907157283051494,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,100,1.5,1.5,uniform_exact,0.5611351903074464,3.292768957065315,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,100,sqrt(log n),2.628260884878466,uniform_exact,0.5611351903074464,3.292768957065315,1000,0.0,1
1000,3,0.0,2.0,0,0.617599978331471,6.544485015745742,uniform,0,100,3.0,3.0,uniform_exact,0.5611351903074464,3.292768957065315,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,10,1.5,1.5,uniform_exact,0.5003783471124194,1.8130291190600347,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,10,sqrt(log n),2.628260884878466,uniform_exact,0.5003783471124194,1.8130291190600347,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,10,3.0,3.0,uniform_exact,0.5003783471124194,1.8130291190600347,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,30,1.5,1.5,uniform_exact,0.7457998241797379,3.865161978575813,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,30,sqrt(log n),2.628260884878466,uniform_exact,0.7457998241797379,3.865161978575813,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,30,3.0,3.0,uniform_exact,0.7457998241797379,3.865161978575813,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,50,1.5,1.5,uniform_exact,0.664793103446356,3.622119403834327,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,50,sqrt(log n),2.628260884878466,uniform_exact,0.664793103446356,3.622119403834327,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,50,3.0,3.0,uniform_exact,0.664793103446356,3.622119403834327,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,100,1.5,1.5,uniform_exact,0.5297116439922225,3.2843787213256572,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,100,sqrt(log n),2.628260884878466,uniform_exact,0.5297116439922225,3.2843787213256572,1000,0.0,1
1000,3,0.0,2.0,1,0.7016203194983847,6.4257658382788225,uniform,0,100,3.0,3.0,uniform_exact,0.5297116439922225,3.2843787213256572,1000,0.0,1
