script_name,tau,trial_id,instance_id,dataset_family,n,seed_instance,seed_pilot,true_cv,true_M,cv_hat,M_hat,oracle_branch,adaptive_branch,adaptive_side,is_borderline,is_fp,is_fn
exp_threshold_sweep,0.5,1,n=1000|of=0.02|om=10.0|trial=1,outlier_grid,1000,1457148699,1664094364,2.4594205603819232,19.349043540692758,2.5304175467871204,18.31762690406223,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.02|om=10.0|trial=2,outlier_grid,1000,1457148700,1665094367,2.441556227376376,19.145175988469532,2.7210236474948557,14.74312226163864,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.05|om=2.0|trial=0,outlier_grid,1000,1880510966,1685076997,0.6787566315775071,6.9795351614658365,0.4932625075459373,2.4198292712867953,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,1,n=1000|of=0.05|om=2.0|trial=1,outlier_grid,1000,1880510967,1686077000,0.6273247767797993,5.416408240314115,0.5416405538289764,2.6783660448022633,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.05|om=2.0|trial=2,outlier_grid,1000,1880510968,1687077003,0.6436184853347732,6.685255422490038,0.7995329785255542,5.483127132742024,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.05|om=5.0|trial=0,outlier_grid,1000,585552672,62630526,1.322654341020879,7.809373922547658,0.9389297481180515,6.045813418540743,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.05|om=5.0|trial=1,outlier_grid,1000,585552673,63630529,1.2985808873964355,8.313744404611858,1.3489334573296912,6.154172419776214,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.05|om=5.0|trial=2,outlier_grid,1000,585552674,64630532,1.208561744925839,7.712949719548932,1.3232640696736397,6.5563696366128354,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.05|om=10.0|trial=0,outlier_grid,1000,1290600378,937692486,2.507398434602011,12.789785607408268,2.345080106964511,16.81037230973184,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.05|om=10.0|trial=1,outlier_grid,1000,1290600379,938692489,2.520669114923294,12.78671987327333,2.416618114714142,12.82942787641423,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.05|om=10.0|trial=2,outlier_grid,1000,1290600380,939692492,2.49068495781207,12.596211278828237,2.3545916223697034,10.353061289412233,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.1|om=2.0|trial=0,outlier_grid,1000,171274668,476073872,0.6524098435515786,7.086241475883487,0.5993746146985793,3.901894465238008,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.1|om=2.0|trial=1,outlier_grid,1000,171274669,477073875,0.581167313005821,6.085439413528287,0.4741873511149366,1.8957120387939266,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,2,n=1000|of=0.1|om=2.0|trial=2,outlier_grid,1000,171274670,478073878,0.6984683097008569,7.200833170425255,0.44855229708806577,2.1270200786325364,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,0,n=1000|of=0.1|om=5.0|trial=0,outlier_grid,1000,1023800021,1001111048,1.3537758517722411,6.291632634044208,1.2993232523536666,5.787003499646059,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.1|om=5.0|trial=1,outlier_grid,1000,1023800022,1002111051,1.367532997551312,6.235878482522877,1.4315249697286025,5.425996300273245,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.1|om=5.0|trial=2,outlier_grid,1000,1023800023,1003111054,1.3274574831627268,6.042607423381932,1.3969327781377823,6.020932246762647,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.1|om=10.0|trial=0,outlier_grid,1000,1728847727,1876173008,2.1745485439283283,8.206958182334139,1.8861301582157006,5.603751562214981,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.1|om=10.0|trial=1,outlier_grid,1000,1728847728,1877173011,2.2071501455785794,8.244504029581895,2.8318403985035823,20.507433854512602,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.1|om=10.0|trial=2,outlier_grid,1000,1728847729,1878173014,2.2131805137021714,8.13937339152958,2.2737289492941235,8.11573469007369,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.2|om=2.0|trial=0,outlier_grid,1000,1047769366,205551269,0.596226390605092,7.59566327931635,0.5726452507415545,3.864714541272464,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.2|om=2.0|trial=1,outlier_grid,1000,1047769367,206551272,0.5707637716995058,4.76013034379612,0.4757155033656834,2.413844089778482,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,2,n=1000|of=0.2|om=2.0|trial=2,outlier_grid,1000,1047769368,207551275,0.6082008942884182,5.59710910895369,0.6125250877721026,3.225423877184917,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.2|om=5.0|trial=0,outlier_grid,1000,1900294719,730588445,1.2128763710131376,4.437108297044463,1.2221002765779356,3.9878478511653475,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.2|om=5.0|trial=1,outlier_grid,1000,1900294720,731588448,1.222022170293529,4.453870144522961,1.4450934307841745,5.920951708867079,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.2|om=5.0|trial=2,outlier_grid,1000,1900294721,732588451,1.2283430251331136,4.34226493758284,1.2642858719883578,4.313924475067066,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=1000|of=0.2|om=10.0|trial=0,outlier_grid,1000,457858778,1605650405,1.6822322474532947,4.785774324099834,1.6669011786716381,4.351679993502763,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=1000|of=0.2|om=10.0|trial=1,outlier_grid,1000,457858779,1606650408,1.6828609678688584,4.797205593998007,1.5958913718264502,4.290624161386626,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=1000|of=0.2|om=10.0|trial=2,outlier_grid,1000,457858780,1607650411,1.6824444119691087,4.694431122747657,1.7140134544741037,4.6190880515279265,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.0|om=2.0|trial=0,outlier_grid,2000,884521234,1143168166,0.6437859806065077,7.26494190000632,0.7985242541524279,5.246676737166722,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=2000|of=0.0|om=2.0|trial=1,outlier_grid,2000,884521235,1144168169,0.6783226328241753,6.987718128416362,0.5672746812122964,2.480207886620854,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=2000|of=0.0|om=2.0|trial=2,outlier_grid,2000,884521236,1145168172,0.7008485258315146,10.87323753149392,0.5084601810206388,2.110334387059068,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.0|om=5.0|trial=0,outlier_grid,2000,1737046587,1668205342,0.6647636523552978,9.371015606248461,0.686200631157691,4.717185834792868,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=2000|of=0.0|om=5.0|trial=1,outlier_grid,2000,1737046588,1669205345,0.6503303945228937,7.618833107152736,0.5206793977438496,2.782431122908416,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=2000|of=0.0|om=5.0|trial=2,outlier_grid,2000,1737046589,1670205348,0.7116392058914187,10.837519913683188,0.6563429824914156,4.6101241569755445,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.0|om=10.0|trial=0,outlier_grid,2000,294610646,395783655,0.6984542271619008,9.191213698217632,0.7226741792389381,4.04623731771237,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=2000|of=0.0|om=10.0|trial=1,outlier_grid,2000,294610647,396783658,0.6531760108020092,9.05950966881119,0.5407250755421071,2.889358175083832,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=2000|of=0.0|om=10.0|trial=2,outlier_grid,2000,294610648,397783661,0.6722700999610615,5.917746054892996,0.5027397598207456,2.764866712223381,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.01|om=2.0|trial=0,outlier_grid,2000,113177245,901367541,0.7041455345419971,8.158001271669198,0.47240920149913807,2.374091592982216,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,1,n=2000|of=0.01|om=2.0|trial=1,outlier_grid,2000,113177246,902367544,0.6776575995706522,7.229319530734069,0.6253802202656913,3.343840293870133,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,2,n=2000|of=0.01|om=2.0|trial=2,outlier_grid,2000,113177247,903367547,0.6623640231431586,9.28680597708695,0.765834956173804,4.606709760033966,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.01|om=5.0|trial=0,outlier_grid,2000,965702598,1426404717,0.9816612409123018,11.124163624423396,0.9389589966374279,5.652468752514771,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,1,n=2000|of=0.01|om=5.0|trial=1,outlier_grid,2000,965702599,1427404720,1.019893147231907,10.771710935140439,0.4589062954852428,2.353584135334401,uniform,uniform_exact,uniform,0,0,0
exp_threshold_sweep,0.5,2,n=2000|of=0.01|om=5.0|trial=2,outlier_grid,2000,965702600,1428404723,1.0038984191058524,11.152323945467518,0.6947921428027173,4.045764982698756,uniform,is,is,0,1,0
exp_threshold_sweep,0.5,0,n=2000|of=0.01|om=10.0|trial=0,outlier_grid,2000,1670750304,153983030,2.485939595674491,27.10730987984548,0.5651406886858524,2.925872892736239,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,1,n=2000|of=0.01|om=10.0|trial=1,outlier_grid,2000,1670750305,154983033,2.4574092914423638,26.830979453268434,0.5170253989908393,2.884779913140674,uniform,is,is,1,1,0
exp_threshold_sweep,0.5,2,n=2000|of=0.01|om=10.0|trial=2,outlier_grid,2000,1670750306,155983036,2.4875934157876274,27.001639859771334,0.7250777660740342,3.369100451573609,uniform,is,is,1,1,0
