tau,n_total,n_borderline,n_oracle_uniform_total,n_oracle_is_total,fp_total,fn_total,n_oracle_uniform_border,n_oracle_is_border,fp_borderline,fn_borderline,accuracy_total,fp_rate_total,fn_rate_total,accuracy_border,fp_rate_border,fn_rate_border,mean_rel_error_total
0.5,162,30,147,15,136,0,20,10,20,0,0.16049382716049387,0.9251700680272109,0.0,0.33333333333333337,1.0,0.0,0.011558403853247839
0.7368421052631579,162,30,147,15,74,2,20,10,17,2,0.5308641975308642,0.5034013605442177,0.13333333333333333,0.3666666666666667,0.85,0.2,0.006046401820996944
0.9736842105263157,162,30,147,15,62,3,20,10,14,3,0.5987654320987654,0.4217687074829932,0.2,0.43333333333333335,0.7,0.3,0.006864308158674496
1.2105263157894737,162,30,147,15,49,1,20,10,15,1,0.691358024691358,0.3333333333333333,0.06666666666666667,0.4666666666666667,0.75,0.1,0.005289142148366737
1.4473684210526314,162,30,147,15,36,3,20,10,15,3,0.7592592592592593,0.24489795918367346,0.2,0.4,0.75,0.3,0.004281552267042213
1.6842105263157894,162,30,147,15,24,4,20,10,15,2,0.8271604938271605,0.16326530612244897,0.26666666666666666,0.43333333333333335,0.75,0.2,0.0028724985415935923
1.9210526315789473,162,30,147,15,16,6,20,10,14,3,0.8641975308641976,0.10884353741496598,0.4,0.43333333333333335,0.7,0.3,0.002673208099746018
2.1578947368421053,162,30,147,15,14,4,20,10,12,3,0.8888888888888888,0.09523809523809523,0.26666666666666666,0.5,0.6,0.3,0.0020465737470480847
2.394736842105263,162,30,147,15,14,8,20,10,10,4,0.8641975308641976,0.09523809523809523,0.5333333333333333,0.5333333333333333,0.5,0.4,0.0017030413449401955
2.631578947368421,162,30,147,15,4,9,20,10,4,5,0.9197530864197531,0.027210884353741496,0.6,0.7,0.2,0.5,0.001517127189688529
2.8684210526315788,162,30,147,15,3,9,20,10,3,5,0.9259259259259259,0.02040816326530612,0.6,0.7333333333333334,0.15,0.5,0.0011559880285094332
3.1052631578947367,162,30,147,15,0,13,20,10,0,8,0.9197530864197531,0.0,0.8666666666666667,0.7333333333333334,0.0,0.8,0.0009815747550602535
3.3421052631578947,162,30,147,15,0,14,20,10,0,9,0.9135802469135803,0.0,0.9333333333333333,0.7,0.0,0.9,0.0013543402359754149
3.5789473684210527,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.0008273589122248323
3.81578947368421,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.001193355528187151
4.052631578947368,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.0008927921694060735
4.289473684210526,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.0010354548525436545
4.526315789473684,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.0015324553835199298
4.763157894736842,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.000689119555728524
5.0,162,30,147,15,0,15,20,10,0,10,0.9074074074074074,0.0,1.0,0.6666666666666667,0.0,1.0,0.0008562062014894237
