n,d,outlier_fraction,outlier_mag,trial,s,true_cv,true_M,cv_hat,pilot_cv,M_hat,cv_rel_error,M_rel_error
1000,3,0.0,2.0,0,10,0.617599978331471,6.544485015745742,0.8946004451592805,0.8946004451592805,3.363534535097351,0.4485111343043816,0.48605054072171683
1000,3,0.0,2.0,0,30,0.617599978331471,6.544485015745742,0.7419735570628472,0.7419735570628472,4.315896586469448,0.20138209698029474,0.3405292278788032
1000,3,0.0,2.0,0,50,0.617599978331471,6.544485015745742,0.464734333673586,0.464734333673586,2.2844924880177095,0.24751562503430125,0.6509286089705574
1000,3,0.0,2.0,0,100,0.617599978331471,6.544485015745742,0.6065919156816926,0.6065919156816926,3.5556777018735795,0.01782393626294829,0.45669098587302503
1000,3,0.0,2.0,1,10,0.7016203194983847,6.4257658382788225,0.24878516889886465,0.24878516889886465,1.476298549741618,0.6454133924218005,0.770253291685921
1000,3,0.0,2.0,1,30,0.7016203194983847,6.4257658382788225,0.5730020595649226,0.5730020595649226,2.7716423610241225,0.18331604196613951,0.568667388326973
1000,3,0.0,2.0,1,50,0.7016203194983847,6.4257658382788225,0.6804271267655444,0.6804271267655444,3.831501893459442,0.030206070354393513,0.40372836640967125
1000,3,0.0,2.0,1,100,0.7016203194983847,6.4257658382788225,0.7496420574283312,0.7496420574283312,5.348910416744005,0.06844405242464922,0.16758398121511064
1000,3,0.0,2.0,2,10,0.633503586176026,5.578210996800821,0.734223169738365,0.734223169738365,2.5625469572053112,0.1589881821669009,0.5406149106451932
1000,3,0.0,2.0,2,30,0.633503586176026,5.578210996800821,0.87811438944256,0.87811438944256,4.893339900550778,0.3861237862015295,0.12277611883860715
1000,3,0.0,2.0,2,50,0.633503586176026,5.578210996800821,0.526277283683598,0.526277283683598,3.1351511188367356,0.16925918784401942,0.43796476672632373
1000,3,0.0,2.0,2,100,0.633503586176026,5.578210996800821,0.5954586451804175,0.5954586451804175,3.507687756379261,0.06005481551455228,0.3711805167658651
1000,3,0.0,5.0,0,10,0.6607087487078306,6.077985671873188,0.42448585719884185,0.42448585719884185,1.6848319649093508,0.3575295347170405,0.7227976412142317
