dataset,n,true_cv_mean,true_cv,true_M,bernstein_oracle,bernstein_accuracy,oracle_branch_counts,exact_nn_query_cost,uniform_nn_query_cost,is_nn_query_cost,is_T_IS,adaptive_nn_query_cost,nn_query_equiv_costs,bf_time_ms,unif_time_ms,unif_err,uniform_error_mean,is_time_ms,is_err,is_error_mean,ad_time_ms,ad_err,adaptive_error_mean,ad_branch_uniform,ad_branch_is,ad_branch_uniform_exact,adaptive_branch_counts
ShapeNet-like,8000,3.369000356987635,3.369000356987635,39.438884212897335,is,0.4,is:20,8000,50,3603.987196820662,3595,5558.7,exact=8000.0;uniform=50.0;is=3604.0;adaptive=5558.7,159.74070000083884,1.598789999843575,0.4275571579539699,0.4275571579539699,122.34703499989337,0.011827544908468752,0.011827544908468752,164.98169999977108,0.012576889582593297,0.012576889582593297,5,8,7,uniform=5;is=8;uniform_exact=7
Text-like,2500,0.02925267010677603,0.02925267010677603,1.0992550082583963,uniform,1.0,uniform:20,2500,50,3137.8240460108564,3130,50.0,exact=2500.0;uniform=50.0;is=3137.8;adaptive=50.0,413.1450999993831,8.694920000107231,0.0029129462170393527,0.0029129462170393527,606.5616550002233,0.0013659007084301654,0.0013659007084301654,9.311854999759817,0.0033652009472132033,0.0033652009472132033,20,0,0,uniform=20;is=0;uniform_exact=0
Outlier,1000,12.069172738591654,12.069172738591654,382.46093400018253,uniform,1.0,uniform:20,1000,50,2770.907755278982,2764,170.3,exact=1000.0;uniform=50.0;is=2770.9;adaptive=170.3,9.169500001007691,0.7270699999025965,0.38375941204136105,0.38375941204136105,48.797190000004775,0.0049268802143467155,0.0049268802143467155,2.3965800000951276,0.47447935181010265,0.47447935181010265,20,0,0,uniform=20;is=0;uniform_exact=0
