tau,n_total,fp_total,fn_total,accuracy_total,fp_rate_total,fn_rate_total,n_borderline,fp_borderline,fn_borderline,accuracy_border,fp_rate_border,fn_rate_border,n_oracle_uniform_border,n_oracle_is_border
0.5,162,136,0,0.16049382716049387,0.9251700680272109,0.0,30,20,0,0.33333333333333337,1.0,0.0,20,10
0.7368421052631579,162,74,2,0.5308641975308642,0.5034013605442177,0.13333333333333333,30,17,2,0.3666666666666667,0.85,0.2,20,10
0.9736842105263157,162,62,3,0.5987654320987654,0.4217687074829932,0.2,30,14,3,0.43333333333333335,0.7,0.3,20,10
1.2105263157894737,162,49,1,0.691358024691358,0.3333333333333333,0.06666666666666667,30,15,1,0.4666666666666667,0.75,0.1,20,10
1.4473684210526314,162,36,3,0.7592592592592593,0.24489795918367346,0.2,30,15,3,0.4,0.75,0.3,20,10
1.6842105263157894,162,24,4,0.8271604938271605,0.16326530612244897,0.26666666666666666,30,15,2,0.43333333333333335,0.75,0.2,20,10
1.9210526315789473,162,16,6,0.8641975308641976,0.10884353741496598,0.4,30,14,3,0.43333333333333335,0.7,0.3,20,10
2.1578947368421053,162,14,4,0.8888888888888888,0.09523809523809523,0.26666666666666666,30,12,3,0.5,0.6,0.3,20,10
2.394736842105263,162,14,8,0.8641975308641976,0.09523809523809523,0.5333333333333333,30,10,4,0.5333333333333333,0.5,0.4,20,10
2.631578947368421,162,4,9,0.9197530864197531,0.027210884353741496,0.6,30,4,5,0.7,0.2,0.5,20,10
2.8684210526315788,162,3,9,0.9259259259259259,0.02040816326530612,0.6,30,3,5,0.7333333333333334,0.15,0.5,20,10
3.1052631578947367,162,0,13,0.9197530864197531,0.0,0.8666666666666667,30,0,8,0.7333333333333334,0.0,0.8,20,10
3.3421052631578947,162,0,14,0.9135802469135803,0.0,0.9333333333333333,30,0,9,0.7,0.0,0.9,20,10
3.5789473684210527,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
3.81578947368421,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
4.052631578947368,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
4.289473684210526,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
4.526315789473684,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
4.763157894736842,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
5.0,162,0,15,0.9074074074074074,0.0,1.0,30,0,10,0.6666666666666667,0.0,1.0,20,10
