dataset,trial,n_a,true_cv,true_M,tau,exact_nn_query_cost,uniform_nn_query_cost,is_nn_query_cost,is_T_IS,bf_time,u_time,u_err,is_time,is_err,ad_time,ad_err,ad_branch,ad_pilot_cv,ad_M_hat,ad_T_used,bernstein_oracle,bernstein_correct
ShapeNet-like,0,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0013424999997369014,0.13110818729316942,0.09570780000103696,0.0011572656339904864,0.09096479999971052,0.004200106766100361,is,3.6571867722015927,25.1909178079355,3595,is,1
ShapeNet-like,1,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001218300001710304,0.4986360290125645,0.0878947999990487,0.012884147711038385,0.16532600000027742,0.0,uniform_exact,2.332512033665068,10.536834274076389,8000,is,0
ShapeNet-like,2,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0012888000001112232,0.4791084694364218,0.08938769999986107,0.003822800992736422,0.16748680000091554,0.0,uniform_exact,2.199867707513675,13.092967488536289,8000,is,0
ShapeNet-like,3,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0013687999999092426,0.5806739496280481,0.09005210000032093,0.02112731129499249,0.09242749999975786,0.0009600095289865649,is,3.864662860534004,27.67070420375297,3595,is,1
ShapeNet-like,4,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0012276999987079762,0.5118837652618123,0.09004889999960142,0.0017720899366530172,0.09129219999886118,0.021388483307011385,is,3.1817262794192835,19.235068656855358,3595,is,1
ShapeNet-like,5,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001299499999731779,0.19550340038120229,0.09019540000008419,0.00035072117022147696,0.1679007000002457,0.0,uniform_exact,2.9021017039145454,14.723189175291111,8000,is,0
ShapeNet-like,6,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001333899999735877,0.5567027213510396,0.08851330000106827,0.003977373309592249,0.16910979999920528,0.0,uniform_exact,2.8953374229263464,15.323947649041177,8000,is,0
ShapeNet-like,7,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0013414000004559057,0.09461013067481948,0.08719249999921885,0.03632537656682999,0.09881730000051903,0.03514299539825018,uniform,0.6997012600686104,4.521886357619912,4896,is,0
ShapeNet-like,8,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.001211999999213731,0.8719352285259695,0.08897419999993872,0.006535512892635356,0.08808069999940926,0.006057323224269481,is,3.681645841695071,24.79662830018862,3595,is,1
ShapeNet-like,9,8000,3.369000356987635,39.438884212897335,2.997865377341346,8000,50,3603.987196820662,3595,0.15974070000083884,0.0012733000003208872,0.15239222688259002,0.08942219999880763,0.013738429357142442,0.161849500000244,0.0,uniform_exact,2.2785397653399198,13.928117871407258,8000,is,0
