tau,fp_rate,fn_rate,mean_rel_error,n_oracle_uniform,n_oracle_is
0.5,0.9251700680272109,0.0,0.011558403853247839,147,15
0.7368421052631579,0.5034013605442177,0.13333333333333333,0.006046401820996944,147,15
0.9736842105263157,0.4217687074829932,0.2,0.006864308158674496,147,15
1.2105263157894737,0.3333333333333333,0.06666666666666667,0.005289142148366737,147,15
1.4473684210526314,0.24489795918367346,0.2,0.004281552267042213,147,15
1.6842105263157894,0.16326530612244897,0.26666666666666666,0.0028724985415935923,147,15
1.9210526315789473,0.10884353741496598,0.4,0.002673208099746018,147,15
2.1578947368421053,0.09523809523809523,0.26666666666666666,0.0020465737470480847,147,15
2.394736842105263,0.09523809523809523,0.5333333333333333,0.0017030413449401955,147,15
2.631578947368421,0.027210884353741496,0.6,0.001517127189688529,147,15
2.8684210526315788,0.02040816326530612,0.6,0.0011559880285094332,147,15
3.1052631578947367,0.0,0.8666666666666667,0.0009815747550602535,147,15
3.3421052631578947,0.0,0.9333333333333333,0.0013543402359754149,147,15
3.5789473684210527,0.0,1.0,0.0008273589122248323,147,15
3.81578947368421,0.0,1.0,0.001193355528187151,147,15
4.052631578947368,0.0,1.0,0.0008927921694060735,147,15
4.289473684210526,0.0,1.0,0.0010354548525436545,147,15
4.526315789473684,0.0,1.0,0.0015324553835199298,147,15
4.763157894736842,0.0,1.0,0.000689119555728524,147,15
5.0,0.0,1.0,0.0008562062014894237,147,15
