n,true_cv,true_M,cv_hat,M_hat,cost_unif_chebyshev,cost_unif_bernstein,cost_is,tau,branch_taken,oracle_decision,rel_error,in_borderline
1000,0.617599978331471,6.544485015745742,0.6015202548247754,2.8050478211571015,1000,635.3522133703194,2770.0098668718365,0.5,is,uniform,0.03447792802372428,0
1000,0.7016203194983847,6.4257658382788225,0.5977682119151176,3.5683129890526444,1000,748.6133196376052,2770.0098668718365,0.5,is,uniform,0.029513983375322145,0
1000,0.633503586176026,5.578210996800821,0.560786774005518,3.271360465507582,1000,622.3055587995697,2770.0098668718365,0.5,is,uniform,0.016506555583112884,0
1000,0.6607087487078306,6.077985671873188,0.6518132423380265,3.5057967232936407,1000,677.2686212166315,2770.0098668718365,0.5,is,uniform,0.005373721587358736,0
1000,0.6504739835154975,5.5695015501111715,0.603310724381136,2.780934692952512,1000,645.0875760346555,2770.0098668718365,0.5,is,uniform,0.012994530495134899,0
1000,0.6694892343956219,5.3838442549691585,0.6484987361077903,2.8951956384254878,1000,665.1267185776958,2770.0098668718365,0.5,is,uniform,0.006908998288596795,0
1000,0.6398166324088268,6.140337691272391,0.66657803514311,3.6111739629004456,1000,650.6791989769632,2770.0098668718365,0.5,is,uniform,0.0001293789789615159,0
1000,0.6645481406412764,5.726033896808133,0.5977746968163838,3.401344515465205,1000,670.2286990086395,2770.0098668718365,0.5,is,uniform,0.016046119947888026,0
1000,0.6625855174916219,6.889022080403152,0.5023616104255118,3.0198125232408,1000,708.5478357810049,2770.0098668718365,0.5,is,uniform,0.009424522751938983,0
1000,0.6194948810036581,4.431036671722072,0.6640383343775162,4.120324252329307,1000,563.1847822127821,2770.0098668718365,0.5,is,uniform,0.015062378253677226,0
1000,0.6419604984348997,5.780451621515172,0.5325548653951018,2.772725708092996,1000,640.8791727435553,2770.0098668718365,0.5,is,uniform,0.020120889759408705,0
1000,0.6478534945181104,7.295799872829969,0.7989955017048497,5.11170537890552,1000,702.4588421607818,2770.0098668718365,0.5,is,uniform,0.0036911660044089308,0
1000,0.9275708025452007,9.067911114745035,0.9339262524583607,6.459804739165755,1000,1000,2770.0098668718365,0.5,is,uniform,0.018339881943259077,0
1000,0.8826442516694574,9.20078801072338,0.729566995291997,5.074984717321648,1000,1000,2770.0098668718365,0.5,is,uniform,0.009984396557476276,0
1000,0.8944373892679047,9.492564196854993,0.7225754039427428,4.284587384160472,1000,1000,2770.0098668718365,0.5,is,uniform,0.004188141141218181,0
1000,2.1600848596659037,23.591190740265375,2.5466709874972695,18.502217867525356,1000,1000,2770.0098668718365,0.5,is,uniform,0.0322537727082006,0
