n,true_cv,true_M,M_hat,tau,tau_name,s,branch_taken,oracle_decision,rel_error,in_borderline
1000,0.6504739835154975,5.5695015501111715,2.7762449781991627,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.3831568395707836,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.3831568395707836,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.3831568395707836,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,2.383774647052662,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,2.383774647052662,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,2.383774647052662,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.8983465463591114,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.8983465463591114,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6504739835154975,5.5695015501111715,3.8983465463591114,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,1.549191410461173,1.5,1.5,10,uniform,uniform,0.022132648228181173,0
1000,0.6694892343956219,5.3838442549691585,1.549191410461173,2.628260884878466,sqrt(log n),10,uniform,uniform,0.022132648228181173,0
1000,0.6694892343956219,5.3838442549691585,1.549191410461173,3.0,3.0,10,uniform,uniform,0.022132648228181173,0
1000,0.6694892343956219,5.3838442549691585,2.3362140538542935,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,2.3362140538542935,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,2.3362140538542935,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.944076675955113,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.944076675955113,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.944076675955113,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.450705641114502,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.450705641114502,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6694892343956219,5.3838442549691585,3.450705641114502,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,1.9216196803304446,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,1.9216196803304446,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,1.9216196803304446,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.702715952090149,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.702715952090149,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.702715952090149,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.939420782445579,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.939420782445579,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.939420782445579,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.4555049008147134,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.4555049008147134,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6398166324088268,6.140337691272391,2.4555049008147134,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,2.661957925759733,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,2.661957925759733,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,2.661957925759733,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.1341938178876037,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.1341938178876037,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.1341938178876037,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.521526837047117,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.521526837047117,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,3.521526837047117,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,4.0347647015111905,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,4.0347647015111905,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6645481406412764,5.726033896808133,4.0347647015111905,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,1.6850280304141945,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,1.6850280304141945,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,1.6850280304141945,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,3.125169953827145,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,3.125169953827145,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,3.125169953827145,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.9048152274229104,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.9048152274229104,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.9048152274229104,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.633620171226554,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.633620171226554,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6625855174916219,6.889022080403152,2.633620171226554,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.435144139746459,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.435144139746459,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.435144139746459,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.7327566832276573,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.7327566832276573,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.7327566832276573,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.6298388163907562,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.6298388163907562,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,2.6298388163907562,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,3.88410806462943,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,3.88410806462943,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6194948810036581,4.431036671722072,3.88410806462943,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,1.61932268362969,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,1.61932268362969,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,1.61932268362969,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.13652143693654,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.13652143693654,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.13652143693654,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,3.179613421850433,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,3.179613421850433,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,3.179613421850433,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.79405598518559,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.79405598518559,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6419604984348997,5.780451621515172,2.79405598518559,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,1.525134215301213,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,1.525134215301213,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,1.525134215301213,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.660095210849848,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.660095210849848,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.660095210849848,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.1286690511994903,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.1286690511994903,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.1286690511994903,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.6871772837741887,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.6871772837741887,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.6478534945181104,7.295799872829969,2.6871772837741887,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.704021466901759,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.704021466901759,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.704021466901759,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.2947998891230386,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.2947998891230386,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,2.2947998891230386,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,4.462038548867189,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,4.462038548867189,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,4.462038548867189,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,8.14333367226407,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,8.14333367226407,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.9275708025452007,9.067911114745035,8.14333367226407,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,1.6114375142952524,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,1.6114375142952524,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,1.6114375142952524,3.0,3.0,10,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.238276197960493,1.5,1.5,30,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.238276197960493,2.628260884878466,sqrt(log n),30,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.238276197960493,3.0,3.0,30,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.732597055151973,1.5,1.5,50,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.732597055151973,2.628260884878466,sqrt(log n),50,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.732597055151973,3.0,3.0,50,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.996929598323135,1.5,1.5,100,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.996929598323135,2.628260884878466,sqrt(log n),100,uniform_exact,uniform,0.0,0
1000,0.8826442516694574,9.20078801072338,6.996929598323135,3.0,3.0,100,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,5.0978661538887895,1.5,1.5,10,uniform_exact,uniform,0.0,0
1000,0.8944373892679047,9.492564196854993,5.0978661538887895,2.628260884878466,sqrt(log n),10,uniform_exact,uniform,0.0,0
